설문번호,그룹번호,설문문항번호,설문문항
1374,26,11,교과목 : 전기설비 보호
1374,26,12,교과목 : 보호계전방식 이론
1374,26,13,교과목 : 보호계전기 활용 실습
1374,26,14,교과목 : 수배전설비 현장실무
1374,26,15,교과목 : 전기설계 실무
1374,26,16,교과목 : 전기물량 산출방법
1374,26,17,교과목 : 전기감독 실무
1374,26,18,교과목 : 전기안전관리 주의사항 및 전기사고 사례
1374,26,19,교과목 : 전기설비 이해와 안전
1393,1,1,교육만족도 설문지입니다
1393,1,2,성별
1393,1,3,직급
1393,1,4,근무연수
1393,1,9,직렬(직종)
1393,1,10,근무처
1393,6,1,교과목별 만족도 조사입니다. 
1393,6,2,강의내용‧스킬
1393,6,3,교육자료
1393,9,1,교육동기 및 참여정도에 대한 조사입니다.
1393,9,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
1393,9,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
1393,9,7,교육내용이 귀하의 직무수행에 관련이 있습니까?
1393,10,1,"교육시설(강의실, 휴게시설, 주차장,  산책로 등)에 대해 만족하십니까?"
1393,10,2,교육시설 및 환경에 관한 만족도 조사입니다.
1393,10,3,급식의 질 및 위생상태에 대해 만족하십니까?
1393,11,2,교육운영에 관한 만족도 조사입니다.
1393,11,3,"교육전 사전 강점진단결과는 본인의 특성을 잘 표현하고, 본 교육에 효과적으로 기여하였습니까?"
1393,11,4,이 과정의 교육인원은 적절하였습니까?
1393,11,5,이 과정의 교육기간(1일)은 적절하였습니까?
1393,11,6,"이 과정의 교수방법(실습, 토의, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
1393,11,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
1393,12,11,교육효과에 관한 만족도 조사입니다.
1393,12,12,"학습한 내용이 본인의 강점을 이해하고, 개인역량을 높이는데 도움이 됩니까?"
1393,12,13,학습한 내용이 본인이 속한 팀이 앞으로 효과적인 직무를 수행하는데  도움이 될 것 같습니까?
1393,12,14,본 교육과정을 통해 귀하의 교육전에 기대하였던 목표를 달성하셨습니까?
1393,12,15,이 과정을 다른 동료에게 추천하시겠습니까?
1393,13,1,"귀하는 본 교육과정에서 새롭게 학습한 내용을 잘 이해하여, 본인의 지식·역량으로 만들었습니까?"
1393,13,3,본 교육과정의 교육내용에 대한 학습이해도를 더 높이기 위해서는 교육훈련의 어느부분이 더 강화되어야 한다고 생각하십니까? (중복응답 가능)
1393,13,4,본 과정의 교육내용에 대한 교육생의 학습이해도를 파악하기 위한 문항입니다. 
1393,14,1,[설문종료] 이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
1394,1,1,교육만족도 설문지입니다
1394,1,2,성별
1394,1,3,직급
1394,1,4,근무연수
1394,1,9,직렬(직종)
1394,1,10,근무처
1394,6,1,교과목별 만족도 조사입니다. 
1394,6,2,강의내용‧스킬
1394,6,3,교육자료
1394,9,1,교육동기 및 참여정도에 대한 조사입니다.
1394,9,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
1394,9,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
1394,9,7,교육내용이 귀하의 직무수행에 관련이 있습니까?
1394,10,1,"교육시설(강의실, 휴게시설, 주차장,  산책로 등)에 대해 만족하십니까?"
1394,10,2,교육시설 및 환경에 관한 만족도 조사입니다.
1394,10,3,급식의 질 및 위생상태에 대해 만족하십니까?
1394,11,2,교육운영에 관한 만족도 조사입니다.
1394,11,3,본 과정의 교과목 구성은 교육목표를 효과적으로 달성할 수 있게 편성되었습니까?
1394,11,4,이 과정의 교육인원은 적절하였습니까?
1394,11,5,이 과정의 교육기간(1일)은 적절하였습니까?
1394,11,6,"이 과정의 교수방법(실습, 토의, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
1394,11,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
1394,12,11,교육효과에 관한 만족도 조사입니다.
1394,12,12,"학습한 내용이 본인의 강점을 이해하고, 개인역량을 높이는데 도움이 됩니까?"
1394,12,13,학습한 내용이 본인이 속한 팀이 앞으로 효과적인 직무를 수행하는데  도움이 될 것 같습니까?
1394,12,14,본 교육과정을 통해 귀하의 교육전에 기대하였던 목표를 달성하셨습니까?
1394,12,15,이 과정을 다른 동료에게 추천하시겠습니까?
1394,13,1,"귀하는 본 교육과정에서 새롭게 학습한 내용을 잘 이해하여, 본인의 지식·역량으로 만들었습니까?"
1394,13,3,본 교육과정의 교육내용에 대한 학습이해도를 더 높이기 위해서는 교육훈련의 어느부분이 더 강화되어야 한다고 생각하십니까? (중복응답 가능)
1394,13,4,본 과정의 교육내용에 대한 교육생의 학습이해도를 파악하기 위한 문항입니다. 
1394,14,1,[설문종료] 이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
1399,1,1,교육만족도 설문지입니다
1399,1,2,성별
1399,1,3,직급
1399,1,4,근무연수
1399,1,9,직렬(직종)
1399,1,10,근무처
1399,6,1,교과목별 만족도 조사입니다. 
1399,6,2,강의내용‧스킬
1399,6,3,교육자료
1399,9,1,교육동기 및 참여정도에 대한 조사입니다.
1399,9,5,귀하께서 본 과정을 신청하게 된 동기는 무엇입니까?(중복선택 가능)
1399,9,6,귀하께서 본 과정의 학습에 참여한 정도는 어떻게 되십니까?
1399,9,7,교육내용이 귀하의 직무수행에 관련이 있습니까?
1399,10,1,"교육시설(강의실, 휴게시설, 주차장,  산책로 등)에 대해 만족하십니까?"
1399,10,2,교육시설 및 환경에 관한 만족도 조사입니다.
1399,10,3,급식의 질 및 위생상태에 대해 만족하십니까?
1399,11,2,교육운영에 관한 만족도 조사입니다.
1399,11,3,"교육전 사전 강점진단결과는 본인의 특성을 잘 표현하고, 본 교육에 효과적으로 기여하였습니까?"
1399,11,4,이 과정의 교육인원은 적절하였습니까?
1399,11,5,이 과정의 교육기간(1일)은 적절하였습니까?
1399,11,6,"이 과정의 교수방법(실습, 토의, 발표 등)은 교육내용을 이해하는데 효과적이었습니까?"
1399,11,7,이 과정의 교재·교육자료는 교육내용을 이해하는데 도움이 되었습니까?
1399,12,11,교육효과에 관한 만족도 조사입니다.
1399,12,12,"학습한 내용이 본인의 강점을 이해하고, 개인역량을 높이는데 도움이 됩니까?"
1399,12,13,학습한 내용이 본인이 속한 팀이 앞으로 효과적인 직무를 수행하는데  도움이 될 것 같습니까?
1399,12,14,본 교육과정을 통해 귀하의 교육전에 기대하였던 목표를 달성하셨습니까?
1399,12,15,이 과정을 다른 동료에게 추천하시겠습니까?
1399,13,1,"귀하는 본 교육과정에서 새롭게 학습한 내용을 잘 이해하여, 본인의 지식·역량으로 만들었습니까?"
1399,13,3,본 교육과정의 교육내용에 대한 학습이해도를 더 높이기 위해서는 교육훈련의 어느부분이 더 강화되어야 한다고 생각하십니까? (중복응답 가능)
1399,13,4,본 과정의 교육내용에 대한 교육생의 학습이해도를 파악하기 위한 문항입니다. 
1399,14,1,[설문종료] 이 밖에 교육과정 및 편의시설 등에 바라는 것이나 좋은 의견이 있으면 적어 주십시오.
1435,1,1,"부산광역시 인재개발원에서는 귀하의 강좌에 대한 의견을 듣고자 합니다.  열린강좌에 대한 소감을 말씀해 주시면, 보다 나은 열린강좌를 만들기 위한 소중한 자료로 활용하겠습니다.  많은 참여 부탁드립니다. 본 설문은 열린강좌의 개선 이외의 다른 어떤 용도로 사용되지 않습니다."
1435,1,12,귀하의 소속은 어디입니까?
1435,1,13,귀하의 직급은 무엇입니까?
1435,1,15,이 과정의 강의내용은 만족하십니까?
1435,1,16,이 과정의 교육자료는 교육내용을 이해하는데 효과적이었습니까?
1435,1,17,열린강좌로 듣고 싶은 분야는 무엇입니까?
1435,1,18,열린강좌 시작 시간으로 선호하는 시간은 언제입니까?
1435,14,1,"[설문종료] 초청하고 싶은 강사, 개선사항을 적어주세요."
1437,1,1,감사실무과정의 성과기여도 사전측정 설문을 시작합니다. 
1437,1,3,직급
1437,1,4,근무연수
1437,1,9,직렬(직종)
1437,1,10,근무처
1437,1,11,현재업무 담당기간
1437,13,1,■ 이제부터 귀하가 현재 가지고 있는 감사실무역량으로       업무를 수행하였을 경우 예상되는 업무성과수준에 대하여 설문을 실시합니다. ■  5문항(5가지) 업무영역에 대하여 설문합니다. 
1437,13,3,현재의 지식역량으로  감사계획 수립시 달성가능한 업무성과 수준
1437,13,4,1. 귀하가 현재 가지고 있는 지식･역량으로      감사계획을 수립하여 이에 따라 감사일정을 진행할 때      아래의 성과를 어느정도 달성가능하십니까?       ■ 감사목표의 실현가능성 향상    ■ 본 감사 기간단축 및 감사 낭비요인 제거    ■ 감사성과･품질 향상     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1437,13,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 사전조사･기본절차 등이 지켜지지 않은 부실한 감사계획이 수립되어              행정력 낭비･시간 비용  등의 손실이 많은 반면 감사성과는 미흡    ▹ &lt; 업무성과 10  수준 &gt;          : 치밀한 사전준비, "
1437,13,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1437,14,3,현재의 지식역량으로  감사중 감사보고서 작성시 달성가능한 업무성과 수준
1437,14,4,3. 귀하가 현재 가지고 있는 지식･역량으로      감사 중 감사보고서를 작성할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 보고서내 논리성･공정성 등 요건‧형식 확보로 감사결과의 전문성･객관성 강화   ■ 시기별 종류별 보고서 작성능력 확보로 감사 진행절차의 처리속도 상승   ■ 처분요구에 대한 재심의 감소     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1437,14,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 작성된 감사보고서에 중요 작성요소가 누락되거나,핵심사항을 한눈에 파악 곤란,            법령에 따른 기준과 명확한 사실관계 보다 추정‧자의적 판단 개입, 객관성 결여,             재심의 등 불복절차 계속 또는 처분요구 번복"
1437,14,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1437,15,3,"현재의 지식역량으로 감사결과를 보고하고, 사후처리를 할때 달성가능한 업무성과 수준"
1437,15,4,"2. 귀하가 현재 가지고 있는 지식･역량으로      감사 완료후 감사결과를 보고하고, 사후처리를 할때     아래의 성과를 어느정도 달성가능하십니까?   ■ 감사전반의 투명성･신뢰향상   ■ 처분요구･이행관리 합리성 향상   ■ 감사효과에 대한 긍정인식 확대     해당하는 수준(1번~10번)에 (v)표하여 주십시오."
1437,15,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 감사 후 보고 및 처리절차에서 중요한 요소가 누락되거나 불분명하게 처리되어             감사결과에 대한 신뢰가 떨어지고, 처분요구사항의 이행관리가 미흡하여             감사결과가 완료되지 못하고 미결사항이 누적되고 있음 "
1437,15,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1437,16,3,현재의 지식역량으로 계약감사 업무시 달성가능한 업무성과 수준
1437,16,4,5. 귀하가 현재 가지고 있는 지식･역량으로      계악감사업무를 할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 정확하고 신속한 처리방향 설정으로 후속 진행절차의 적합성･효율성 상승   ■ 계약쟁점 및 적용규정의  정확도 향상   ■ 이해관계자의 감사결과에 대한 만족･신뢰향상     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1437,16,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹ &lt; 업무성과 1 수준 &gt;          : 계약감사의 기존 사례와 원칙에 대해 전혀 숙지하지 못하고 있어,             감사 쟁점 및 처리방향을 정하지 못하고,             사안을 처리할 때 정확한 법규･판례 등 적용근거가 부족함.             계속적인"
1437,16,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1437,17,3,현재의 지식역량으로  사전컨설팅･적극행정 면잭제도 업무시 달성가능한 업무성과 수준
1437,17,4,4. 귀하가 현재 가지고 있는 지식･역량으로      사전컨설팅･적극행정 면잭제도를 활용하여 업무를 할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 기관별 참여확대 및 운영 활성화   ■ 제도에 대한 이해관계자 만족도･신뢰도 향상    ■ 제도에 대한 긍정적 인식 및 적극행정 조직문화 확산     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1437,17,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹ &lt; 업무성과 1 수준 &gt;          : 사전컨설팅･적극행정 면책제도에 대한 개념, 절차, 적용사례를 제대로 알지 못해            조직내 제도 확산에 소극적이고             참여 신청건에 대해 해결의지가 부족하여             조직내에서 제도의 효용성에"
1437,17,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1438,1,1,공무직 기간제근로자 인사실무과정의 성과기여도 사전측정 설문을 시작합니다. 
1438,1,3,직급
1438,1,4,근무연수
1438,1,9,직렬(직종)
1438,1,10,근무처
1438,1,11,현재업무 담당기간
1438,13,1,■ 이제부터 귀하가 현재 가지고 있는 인사실무역량으로       업무를 수행하였을 경우 예상되는 업무성과수준에 대하여 설문을 실시합니다. ■  4문항(4가지) 업무영역에 대하여 설문합니다. 
1438,13,3,현재의 지식･역량으로 / 근로기준법 등 노동법을 업무에 적용하여 추진할때 / &lt;행정력낭비의 축소&gt;라는 성과를  어느수준으로 달성가능하십니까?    
1438,13,4,1. 귀하가 현재 가지고 있는 지식･역량으로      근로기준법 등 노동법을 업무전반에 적용하여 추진할때     &lt;행정력 낭비의 감소&gt;라는 성과를  아래 어느수준으로 달성가능하십니까?         해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1438,13,5,▯응답요령▯   ① 성과 매우 낮음  - ③ 성과 낮음 - ⑤보통이다  - ⑧ 성과 높음  - ⑩ 성과 매우 높음
1438,13,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1438,18,3,현재의 지식･역량으로 /  당해년도 단체협약을 업무전반에 적용할시 / &lt;이해당사자의 만족도 신뢰도 향상&gt;라는 성과를  어느수준으로 달성가능하십니까?    
1438,18,5,▯응답요령▯   ① 성과 매우 낮음  - ③ 성과 낮음 - ⑤보통이다  - ⑧ 성과 높음  - ⑩ 성과 매우 높음
1438,18,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1438,18,7,2. 귀하가 현재 가지고 있는 지식･역량으로          해당년도의 단체협약을 업무전반에 적용할 때     &lt;이해당사자의 만족도 신뢰도 향상&gt;라는 성과를      아래  어느수준으로 달성가능하십니까?              해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1438,19,3,현재의 지식･역량으로 /   근로계약서 작성 및 복무관리를 수행할때 /  &lt;복무감사 근태점검시 지적사항 감소&gt;라는 성과를 어느수준으로 달성가능하십니까?    
1438,19,5,▯응답요령▯   ① 성과 매우 낮음  - ③ 성과 낮음 - ⑤보통이다  - ⑧ 성과 높음  - ⑩ 성과 매우 높음
1438,19,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1438,19,7,3. 귀하가 현재 가지고 있는 지식･역량으로         근로계약서 작성 및 복무관리를 수행할때          &lt;복무감사 근태점검시 지적사항 감소&gt;라는 성과를      아래  어느수준으로 달성가능하십니까?             해당하는 수준(1번~10번)에 (v)표하여 주십시오
1438,20,3,현재의 지식･역량으로 /   급여 수당 및 퇴직금을 지급처리할때 /  &lt;이해당사자 만족도 및 업무처리속도 향상&gt;라는 성과를 어느수준으로 달성가능하십니까?    
1438,20,5,▯응답요령▯   ① 성과 매우 낮음  - ③ 성과 낮음 - ⑤보통이다  - ⑧ 성과 높음  - ⑩ 성과 매우 높음
1438,20,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1438,20,7,4. 귀하가 현재 가지고 있는 지식･역량으로         급여 수당 및 퇴직금 지급처리를 할때          &lt;이해당사자의 만족 및 업무처리속도 향상&gt;이라는 성과를      아래  어느수준으로 달성가능하십니까?             해당하는 수준(1번~10번)에 (v)표하여 주십시오
1439,1,1,감사실무과정의 성과기여도 사전측정 설문을 시작합니다. 
1439,1,3,직급
1439,1,4,근무연수
1439,1,9,직렬(직종)
1439,1,10,근무처
1439,1,11,현재업무 담당기간
1439,13,1,■ 이제부터 귀하가 현재 가지고 있는 감사실무역량으로       업무를 수행하였을 경우 예상되는 업무성과수준에 대하여 설문을 실시합니다. ■  5문항(5가지) 업무영역에 대하여 설문합니다. 
1439,13,3,현재의 지식역량으로  감사계획 수립시 달성가능한 업무성과 수준
1439,13,4,1. 귀하가 현재 가지고 있는 지식･역량으로      감사계획을 수립하여 이에 따라 감사일정을 진행할 때      아래의 성과를 어느정도 달성가능하십니까?       ■ 감사목표의 실현가능성 향상    ■ 본 감사 기간단축 및 감사 낭비요인 제거    ■ 감사성과･품질 향상     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1439,13,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 사전조사･기본절차 등이 지켜지지 않은 부실한 감사계획이 수립되어              행정력 낭비･시간 비용  등의 손실이 많은 반면 감사성과는 미흡    ▹ &lt; 업무성과 10  수준 &gt;          : 치밀한 사전준비, "
1439,13,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1439,14,3,현재의 지식역량으로  감사중 감사보고서 작성시 달성가능한 업무성과 수준
1439,14,4,3. 귀하가 현재 가지고 있는 지식･역량으로      감사 중 감사보고서를 작성할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 보고서내 논리성･공정성 등 요건‧형식 확보로 감사결과의 전문성･객관성 강화   ■ 시기별 종류별 보고서 작성능력 확보로 감사 진행절차의 처리속도 상승   ■ 처분요구에 대한 재심의 감소     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1439,14,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 작성된 감사보고서에 중요 작성요소가 누락되거나,핵심사항을 한눈에 파악 곤란,            법령에 따른 기준과 명확한 사실관계 보다 추정‧자의적 판단 개입, 객관성 결여,             재심의 등 불복절차 계속 또는 처분요구 번복"
1439,14,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1439,15,3,"현재의 지식역량으로 감사결과를 보고하고, 사후처리를 할때 달성가능한 업무성과 수준"
1439,15,4,"2. 귀하가 현재 가지고 있는 지식･역량으로      감사 완료후 감사결과를 보고하고, 사후처리를 할때     아래의 성과를 어느정도 달성가능하십니까?   ■ 감사전반의 투명성･신뢰향상   ■ 처분요구･이행관리 합리성 향상   ■ 감사효과에 대한 긍정인식 확대     해당하는 수준(1번~10번)에 (v)표하여 주십시오."
1439,15,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 감사 후 보고 및 처리절차에서 중요한 요소가 누락되거나 불분명하게 처리되어             감사결과에 대한 신뢰가 떨어지고, 처분요구사항의 이행관리가 미흡하여             감사결과가 완료되지 못하고 미결사항이 누적되고 있음 "
1439,15,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1439,16,3,현재의 지식역량으로 계약감사 업무시 달성가능한 업무성과 수준
1439,16,4,5. 귀하가 현재 가지고 있는 지식･역량으로      계악감사업무를 할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 정확하고 신속한 처리방향 설정으로 후속 진행절차의 적합성･효율성 상승   ■ 계약쟁점 및 적용규정의  정확도 향상   ■ 이해관계자의 감사결과에 대한 만족･신뢰향상     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1439,16,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹ &lt; 업무성과 1 수준 &gt;          : 계약감사의 기존 사례와 원칙에 대해 전혀 숙지하지 못하고 있어,             감사 쟁점 및 처리방향을 정하지 못하고,             사안을 처리할 때 정확한 법규･판례 등 적용근거가 부족함.             계속적인"
1439,16,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1439,17,3,현재의 지식역량으로  사전컨설팅･적극행정 면잭제도 업무시 달성가능한 업무성과 수준
1439,17,4,4. 귀하가 현재 가지고 있는 지식･역량으로      사전컨설팅･적극행정 면잭제도를 활용하여 업무를 할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 기관별 참여확대 및 운영 활성화   ■ 제도에 대한 이해관계자 만족도･신뢰도 향상    ■ 제도에 대한 긍정적 인식 및 적극행정 조직문화 확산     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1439,17,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹ &lt; 업무성과 1 수준 &gt;          : 사전컨설팅･적극행정 면책제도에 대한 개념, 절차, 적용사례를 제대로 알지 못해            조직내 제도 확산에 소극적이고             참여 신청건에 대해 해결의지가 부족하여             조직내에서 제도의 효용성에"
1439,17,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1440,1,1,감사실무과정의 성과기여도 사전측정 설문을 시작합니다. 
1440,1,3,직급
1440,1,4,근무연수
1440,1,9,직렬(직종)
1440,1,10,근무처
1440,1,11,현재업무 담당기간
1440,13,1,■ 이제부터 귀하가 현재 가지고 있는 감사실무역량으로       업무를 수행하였을 경우 예상되는 업무성과수준에 대하여 설문을 실시합니다. ■  5문항(5가지) 업무영역에 대하여 설문합니다. 
1440,13,3,현재의 지식역량으로  감사계획 수립시 달성가능한 업무성과 수준
1440,13,4,1. 귀하가 현재 가지고 있는 지식･역량으로      감사계획을 수립하여 이에 따라 감사일정을 진행할 때      아래의 성과를 어느정도 달성가능하십니까?       ■ 감사목표의 실현가능성 향상    ■ 본 감사 기간단축 및 감사 낭비요인 제거    ■ 감사성과･품질 향상     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1440,13,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 사전조사･기본절차 등이 지켜지지 않은 부실한 감사계획이 수립되어              행정력 낭비･시간 비용  등의 손실이 많은 반면 감사성과는 미흡    ▹ &lt; 업무성과 10  수준 &gt;          : 치밀한 사전준비, "
1440,13,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1440,14,3,현재의 지식역량으로  감사중 감사보고서 작성시 달성가능한 업무성과 수준
1440,14,4,3. 귀하가 현재 가지고 있는 지식･역량으로      감사 중 감사보고서를 작성할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 보고서내 논리성･공정성 등 요건‧형식 확보로 감사결과의 전문성･객관성 강화   ■ 시기별 종류별 보고서 작성능력 확보로 감사 진행절차의 처리속도 상승   ■ 처분요구에 대한 재심의 감소     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
1440,14,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 작성된 감사보고서에 중요 작성요소가 누락되거나,핵심사항을 한눈에 파악 곤란,            법령에 따른 기준과 명확한 사실관계 보다 추정‧자의적 판단 개입, 객관성 결여,             재심의 등 불복절차 계속 또는 처분요구 번복"
1440,14,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1440,15,3,"현재의 지식역량으로 감사결과를 보고하고, 사후처리를 할때 달성가능한 업무성과 수준"
1440,15,4,"2. 귀하가 현재 가지고 있는 지식･역량으로      감사 완료후 감사결과를 보고하고, 사후처리를 할때     아래의 성과를 어느정도 달성가능하십니까?   ■ 감사전반의 투명성･신뢰향상   ■ 처분요구･이행관리 합리성 향상   ■ 감사효과에 대한 긍정인식 확대     해당하는 수준(1번~10번)에 (v)표하여 주십시오."
1440,15,5,"▯응답요령▯   ① 성과 매우 낮음 ~③ 성과 낮음 ~⑤, ⑥보통이다 ~⑧ 성과 높음 ~⑩ 성과 매우 높음▯업무성과수준 참고▯    ▹&lt; 업무성과 1 수준 &gt;          : 감사 후 보고 및 처리절차에서 중요한 요소가 누락되거나 불분명하게 처리되어             감사결과에 대한 신뢰가 떨어지고, 처분요구사항의 이행관리가 미흡하여             감사결과가 완료되지 못하고 미결사항이 누적되고 있음 "
1440,15,6,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭
1440,16,3,현재의 지식역량으로 계약감사 업무시 달성가능한 업무성과 수준
1440,16,4,5. 귀하가 현재 가지고 있는 지식･역량으로      계악감사업무를 할 때     아래의 성과를 어느정도 달성가능하십니까?   ■ 정확하고 신속한 처리방향 설정으로 후속 진행절차의 적합성･효율성 상승   ■ 계약쟁점 및 적용규정의  정확도 향상   ■ 이해관계자의 감사결과에 대한 만족･신뢰향상     해당하는 수준(1번~10번)에 (v)표하여 주십시오.
